Year,Country,Code,ContinentCode,GDP per capita constant dollars,Capital investment billion USD,Labor force million people,education,GDP billion USD,Capital stock billion USD,Capital stock per capita,ln_gdp_per_capita,ln_capital_per_capita,ln_education,predicted,residuals,predicted_gdp_per_capita,gdp_growth_rate,predicted_growth_rate,capital_contribution,human_capital_contribution,ptf_contribution
1989,Belgium,BEL,EU,28631.32,38.63,3.947598034006913,13.727776,113024.9425430228,316.88765216225727,80273.53581403225,10.262256502513091,11.293195279165488,2.6194212255961653,10.238733896047814,0.023522606465277818,27965.69602373334,3.09400998485887,2.417723591190568,1.1041166663642736,1.2848426921941598,0.6581510681487445
1990,Belgium,BEL,EU,29441.66,49.99,3.9885862253495112,14.09537,117430.59952742368,347.86439303252183,87214.96123655676,10.290165957122754,11.376131168993693,2.6458463746649588,10.267086903370332,0.02307905375242214,28769.955315182433,2.8302572148262817,2.875877971235008,1.5844122291061806,1.2508885031457424,-0.04435527128562426
1991,Belgium,BEL,EU,29870.15,48.08,4.03,14.17917,120376.7045,375.07252945057047,93070.10656341698,10.304614932958511,11.44110832216048,2.651773986245575,10.28230613403909,0.022308798919421946,29211.16078924376,1.4553866867561105,1.53356329277472,1.2413274434411468,0.2805956234344481,-0.07702548329990648
1992,Belgium,BEL,EU,30204.56,53.04,4.08,15.448935,123234.6048,405.6081776835362,99413.76904008242,10.315748185342091,11.507045904581448,2.7375400689289973,10.335502019666924,-0.01975383432483291,30807.14799103806,1.1195457672626308,5.463621296357313,1.2596755416971464,4.059913021086267,-4.206263324425426
1993,Belgium,BEL,EU,29797.41,49.29,4.1,16.7187,122169.381,430.5616870225241,105015.0456152498,10.302176755964686,11.561858910448212,2.816527853437602,10.383364013356026,-0.08118725739134014,32317.49532035922,-1.3479752726078487,4.902587314348361,1.0471509618967787,3.7390484070135304,-6.143342306650849
1994,Belgium,BEL,EU,30664.31,53.91,4.17,17.01413,127870.1727,458.6379858011726,109985.12848948984,10.330854716584035,11.60810044008472,2.83404417529093,10.400489732372728,-0.06963501578869291,32875.72203802527,2.909313259105417,1.727320487347228,0.8834009642920817,0.8291709373781214,1.155224160264743
1995,Belgium,BEL,EU,31329.89,62.76,4.2,17.40259,131585.538,493.8797066531022,117590.4063459767,10.352327872928264,11.674962732428266,2.8566190457180483,10.423949421780463,-0.07162154885219962,33656.09411947575,2.1705363662185784,2.3737032468758246,1.2773412556931578,1.0686276850803276,-0.19865330635063255
1996,Belgium,BEL,EU,31681.94,60.39,4.21,17.68018,133380.9674,524.636924253916,124616.84661613208,10.363502081427168,11.732999081782973,2.8724442381531463,10.442527899537925,-0.07902581811075748,34287.217619327035,1.1236873158507743,1.8752131415215922,1.1087299098225138,0.7491178659238111,-0.7404269258559313
1997,Belgium,BEL,EU,32804.36,56.35,4.23,17.654573,138762.44280000002,549.508708798681,129907.49616990096,10.398316712367516,11.774577908229263,2.8709948433048047,10.44978504284864,-0.05146833048112498,34536.94994692624,3.542775473976656,0.7283540191912019,0.7943244020151837,-0.06861007094375383,2.755748762963357
1998,Belgium,BEL,EU,33376.57,57.78,4.27,17.628965,142517.9539,574.3181862707601,134500.74619924123,10.41560943579465,11.80932502595839,2.869543287936612,10.455736029689458,-0.04012659389480788,34743.09164649074,1.74431081722064,0.5968729140277018,0.6638110276535383,-0.06871234357182601,1.134173658631738
